Acres,Urban or Rural,Distance to GTET 100,Distance to GTET 200,Distance to CAISO substation,Population Density,percentile_GTET100,percentile_GTET200,percentile_CAISO,Parking,Rooftop
0.00014366674588033252,0,0.05570256059051466,0.030376366802191142,0.026418769141953357,0.014309499691455051,2.0,0.0,0.0,0,1
0.00020544433787156926,0,0.010394245137663918,0.005668310389798072,0.11924948846548657,0.14075471258746958,0.0,0.0,2.0,1,0
0.0002726171238302655,0,0.04976278408307495,0.060240989756109156,0.10687291302810221,0.007591370056003818,2.0,2.0,2.0,1,0
0.00012513911043192914,0,0.0384315300319751,0.08174716317549122,0.13840280677209682,0.008988554728887956,1.0,2.0,2.0,1,0
0.00012452648830743417,0,0.009168199586663874,0.0602734442631629,0.21668264690332245,0.11886548604561806,0.0,2.0,3.0,1,0
0.00014981058007945762,1,0.1021000790456546,0.05567840003663389,0.09426684110256825,0.008988554728887956,2.0,1.0,2.0,0,0
8.507965495884235e-05,0,0.02916814635805465,0.07758848580065697,0.13136191876108338,0.008988554728887956,1.0,2.0,2.0,1,0
0.00016205634519841477,1,0.11090355740412548,0.13379766305335367,0.06465967457202774,0.005908926845739169,2.0,3.0,1.0,0,0
8.248663130588732e-05,0,0.061085354124380556,0.17347791673039187,0.29370842553788784,0.03420773807444665,2.0,3.0,3.0,0,1
0.0006066223879808459,0,0.03216172598174968,0.07510898476522582,0.029694240602402076,0.005908926845739169,1.0,2.0,0.0,0,0
6.149650457163637e-05,0,0.21961066855972503,0.14596121203595114,0.07055918544594258,0.006304795836389675,3.0,3.0,1.0,0,1
0.0006065863527211144,0,0.24490578917872194,0.1380830775504597,0.18996733272481017,0.14075471258746958,3.0,3.0,3.0,1,0
0.0012735590072518975,1,0.011515580357883377,0.061385766916095146,0.017093244675237235,0.008988554728887956,0.0,2.0,0.0,0,1
0.00023012162166288132,0,0.10412151211598794,0.05678075137846757,0.046609254120009276,0.2215643811054059,2.0,1.0,1.0,0,1
0.0002434643815548531,0,0.09712774621843455,0.05296682979244781,0.019326863231783453,0.2215643811054059,2.0,1.0,0.0,1,0
0.00010924393745806015,1,0.0036320560032114405,0.00198067493181702,0.2608087923653386,0.08551934518611663,0.0,0.0,3.0,0,0
8.526576748264031e-05,0,0.015002802648753052,0.008181502456765188,0.0294013211738031,0.2215643811054059,0.0,0.0,0.0,0,1
0.0006317307886400372,1,0.08515487374599315,0.1128222327430387,0.07862169184936042,0.005908926845739169,2.0,2.0,1.0,0,0
3.6747773148413224e-05,0,0.030813232856168785,0.07963154408265607,0.16768672524406056,0.08519333542911034,1.0,2.0,3.0,1,0
7.958632380663715e-05,0,0.03370492648878825,0.03680400994295,0.11407158391940037,0.08029154586840848,1.0,1.0,2.0,0,1
0.0006111139241097807,1,0.226680147054154,0.12361584854797766,0.1701216069494916,0.14075471258746958,3.0,3.0,3.0,0,1
0.0007388707173749155,0,0.04699979383163796,0.026480846794329552,0.0289110778103306,0.005908926845739169,1.0,0.0,0.0,1,0
0.00011288006799206531,0,0.0115835779395291,0.02978488725167158,0.010694872239389105,0.005908926845739169,0.0,0.0,0.0,1,0
0.00010330501154058677,1,0.007957125576849168,0.004339272066688916,0.0073466455598982855,0.008988554728887956,0.0,0.0,0.0,0,1
0.00022485527193867016,0,0.018046040797832202,0.009841076402789336,0.01666152735943561,0.017773353359646978,0.0,0.0,0.0,1,0
